 0.000000e+0	1.400000e-20
 1.000000e-3	1.656000e-20
 1.000000e-2	2.223000e-20
 5.400000e-1	2.576830e-20
 2.180000e+0	4.012160e-20
 3.400000e+0	4.164450e-20
 4.900000e+0	3.986350e-20
 8.700000e+0	5.056410e-20
 1.000000e+1	4.857350e-20
 1.100000e+1	4.845000e-20
 1.200000e+1	4.813520e-20
 1.300000e+1	4.768600e-20
 1.400000e+1	4.714410e-20
 1.500000e+1	4.654110e-20
 1.600000e+1	4.589860e-20
 1.700000e+1	4.523380e-20
 1.800000e+1	4.455690e-20
 1.900000e+1	4.387680e-20
 2.000000e+1	4.319850e-20
 2.500000e+1	3.992910e-20
 3.000000e+1	3.690800e-20
 3.500000e+1	3.410010e-20
 4.000000e+1	3.147450e-20
 4.500000e+1	2.903300e-20
 5.000000e+1	2.679150e-20
 5.500000e+1	2.475870e-20
 6.000000e+1	2.293160e-20
 6.500000e+1	2.129250e-20
 7.000000e+1	1.982120e-20
 7.500000e+1	1.849820e-20
 8.000000e+1	1.730490e-20
 8.500000e+1	1.622610e-20
 9.000000e+1	1.524740e-20
 9.500000e+1	1.435850e-20
 1.000000e+2	1.354840e-20
 1.100000e+2	1.213100e-20
 1.200000e+2	1.093840e-20
 1.300000e+2	9.925570e-21
 1.400000e+2	9.057190e-21
 1.500000e+2	8.306190e-21
 1.600000e+2	7.651600e-21
 1.700000e+2	7.077230e-21
 1.800000e+2	6.570060e-21
 1.900000e+2	6.119890e-21
 2.000000e+2	5.718060e-21
 2.500000e+2	4.230330e-21
 3.000000e+2	3.286120e-21
 3.500000e+2	2.646920e-21
 4.000000e+2	2.192920e-21
 4.500000e+2	1.854980e-21
 5.000000e+2	1.594220e-21
 5.500000e+2	1.387820e-21
 6.000000e+2	1.221100e-21
 6.500000e+2	1.084150e-21
 7.000000e+2	9.701020e-22
 7.500000e+2	8.739410e-22
 8.000000e+2	7.919500e-22
 8.500000e+2	7.214260e-22
 9.000000e+2	6.602890e-22
 9.500000e+2	6.068940e-22
 1.000000e+3	5.599310e-22
 1.250000e+3	3.917790e-22
 1.500000e+3	2.912750e-22
 1.750000e+3	2.258070e-22
 2.000000e+3	1.806570e-22
 2.500000e+3	1.238260e-22
 3.000000e+3	9.058300e-23
 3.500000e+3	6.937820e-23
 4.000000e+3	5.498320e-23
 4.500000e+3	4.474600e-23
 5.000000e+3	3.718870e-23
 5.500000e+3	3.144110e-23
 6.000000e+3	2.696180e-23
 6.500000e+3	2.339950e-23
 7.000000e+3	2.051710e-23
 7.500000e+3	1.814910e-23
 8.000000e+3	1.554420e-23
 9.000000e+3	1.259420e-23
 1.000000e+4	1.043000e-23
 1.500000e+4	5.232450e-24
 2.000000e+4	3.119340e-24
 2.500000e+4	2.088390e-24
 3.000000e+4	1.505160e-24
 4.000000e+4	8.989470e-25
 5.000000e+4	6.037780e-25
 6.000000e+4	4.368770e-25
 7.000000e+4	3.328030e-25
 8.000000e+4	2.632560e-25
 9.000000e+4	2.143220e-25
 1.000000e+5	1.784870e-25
 2.000000e+5	5.513950e-26
 5.000000e+5	1.278570e-26
 1.000000e+6	4.434570e-27
 2.000000e+6	1.517730e-27
 5.000000e+6	3.385050e-28
 1.000000e+7	1.016870e-28
 2.000000e+7	2.926460e-29
 5.000000e+7	5.409690e-30
 1.000000e+8	1.479590e-30
 2.000000e+8	4.004150e-31
 5.000000e+8	7.035150e-32
 1.000000e+9	1.875970e-32
